"id","name","title","location","state","country","state_abbv","continent","latitude","longitude"
"160","Nis","Nis","Nis","Nisava District","Serbia","","3","43.3","21.9"
"161","Geneva","Geneva","Vernier","Geneva","Switzerland","GE","3","46.2","6.1"
"162","Raleigh","Raleigh","Cary","North Carolina","United States","NC","1","35.7789","-78.8003"
"163","Roseburg","Roseburg","Roseburg","Oregon","United States","OR","1","43.2181","-123.3561"
"164","Gothenburg","Gothenburg","Gothenburg","Vastra Gotaland","Sweden","","3","57.7","11.9667"
"165","Dagupan","Dagupan","Dagupan","Ilocos Region","Philippines","","3","16.0333","120.3333"
"166","Saskatoon","Saskatoon","Saskatoon","Saskatchewan","Canada","SK","1","52.1333","-106.6833"
"167","Montevideo","Montevideo","Pando","Canelones","Uruguay","CA","2","-34.7249","-55.9477"
"168","SanJuan","San Juan","San Juan","","Puerto Rico","","1","18.45","-66.0667"
"169","Perth","Perth","Perth","Western Australia","Australia","WA","4","-31.9522","115.8589"
"170","Vilnius","Vilnius","Vilnius","Vilnius County","Lithuania","VL","3","54.6833","25.2833"
"171","Secaucus","Secaucus","Secaucus","New Jersey","United States","NJ","1","40.782","-74.0676"
"174","Karaganda","Karaganda","Karaganda","Karaganda","Kazakhstan","KAR","3","49.8333","73.1667"
"175","Johannesburg","Johannesburg","Johannesburg","Gauteng","South Africa","GT","5","-26.2044","28.0456"
"176","Novosibirsk","Novosibirsk","Novosibirsk","Novosibirsk Oblast","Russia","NVS","3","55.0167","82.9333"
"177","Guadalajara","Guadalajara","Guadalajara","Jalisco","Mexico","JAL","1","20.667","-103.35"
"180","Shanghai","Shanghai","Shanghai","Shanghai","China","SH","3","31.2","121.5"
"181","Brunswick","Brunswick","Brunswick","Maine","United States","ME","1","43.9108","-69.9631"
"184","Pittsburgh","Pittsburgh","Pittsburgh","Pennsylvania","United States","PA","1","40.4397","-79.9764"
"185","Strasbourg","Strasbourg","Strasbourg","Grand Est","France","GES","3","48.5734","7.7521"
"186","Lahore","Lahore","Lahore","Punjab","Pakistan","PB","3","31.5497","74.3436"
"187","Edinburgh","Edinburgh","Edinburgh","Scotland","United Kingdom","SCT","3","55.9531","-3.1889"
"188","Lausanne","Lausanne","Lausanne","Vaud","Switzerland","VD","3","46.5198","6.6335"
"189","Arezzo","Arezzo","Arezzo","Tuscany","Italy","","3","43.4733","11.87"
"190","Rome","Rome","Rome","Lazio","Italy","","3","41.9","12.5"
"191","Cardiff","Cardiff","Cardiff","Wales","United Kingdom","WLS","3","51.4833","-3.1833"
"192","Limassol","Limassol","Limassol","Limassol","Cyprus","","3","34.6667","33.0333"
"193","Tirana","Tirana","Tirana","Tirana","Albania","TR","3","41.326","19.816"
"194","Kazan","Kazan","Kazan","Tatarstan","Russia","TA","3","55.7903","49.1347"
"195","Palermo","Palermo","Palermo","Sicily","Italy","","3","38.1167","13.3667"
"196","Dronten","Dronten","Dronten","Flevoland","Netherlands","FL","3","52.5167","5.7167"
"197","Groningen","Groningen","Groningen","Groningen","Netherlands","GR","3","53.2167","6.5667"
"198","Rotterdam","Rotterdam","Rotterdam","South Holland","Netherlands","ZH","3","51.9167","4.5"
"200","Brno","Brno","Brno","South Moravian Region","Czech Republic","","3","49.2","16.6167"
"201","Ankara","Ankara","Ankara","Ankara","Turkey","","3","39.9333","32.8667"
"202","Venice","Venice","Noventa di Piave","Veneto","Italy","","3","45.6667","12.5333"
"203","Hamburg","Hamburg","Hamburg","Hamburg","Germany","HH","3","53.5653","10.0014"
"204","Belfast","Belfast","Belfast","Northern Ireland","United Kingdom","NIR","3","54.597","-5.93"
"205","Bursa","Bursa","Bursa","Bursa","Turkey","","3","40.1833","29.05"
"206","Gdansk","Gdansk","Gdansk","Pomerania","Poland","PM","3","54.35","18.6333"
"207","Pristina","Pristina","Pristina","District of Pristina","Kosovo","","3","42.6667","21.1667"
"208","Brussels","Brussels","Brussels","","Belgium","","3","50.85","4.35"
"209","PhnomPenh","Phnom Penh","Phnom Penh","Phnom Penh","Cambodia","","3","11.55","104.9167"
"210","Munich","Munich","Munich","Bavaria","Germany","BY","3","48.1333","11.5667"
"211","Lugano","Lugano","Lugano","Ticino","Switzerland","TI","3","46.0","8.95"
"212","Ktis","Ktis","Ktis","South Bohemian Region","Czech Republic","","3","48.9181","14.1239"
"213","Bogota","Bogota","Bogota","Cundinamarca","Colombia","CUN","2","4.5981","-74.0758"
"214","Athens","Athens","Athens","Attica","Greece","","3","37.9667","23.7167"
"215","Alblasserdam","Alblasserdam","Alblasserdam","South Holland","Netherlands","ZH","3","51.8667","4.65"
"216","TheHague","The Hague","The Hague","South Holland","Netherlands","ZH","3","52.0833","4.3167"
"217","Westpoort","Westpoort","Westpoort","North Holland","Netherlands","NH","3","52.4058","4.8211"
"218","Canberra","Canberra","Canberra","Australian Capital Territory","Australia","ACT","4","-35.3075","149.1244"
"220","LaCeiba","La Ceiba","La Ceiba","Atlantida","Honduras","AT","1","15.7703","-86.7919"
"221","Shenzhen","Shenzhen","Shenzhen","Guangdong","China","GD","3","22.5431","114.0579"
"222","Bangalore","Bangalore","Bangalore","Karnataka","India","KA","3","12.9716","77.5946"
"223","Liege","Liege","Liege","Liege","Belgium","WLG","3","50.6326","5.5797"
"224","Vladivostok","Vladivostok","Vladivostok","Primorsky Krai","Russia","PRI","3","43.1737","132.0065"
"225","Redding","Redding","Redding","California","United States","CA","1","40.5865","-122.3917"
"226","Frosinone","Frosinone","Frosinone","Lazio","Italy","","3","41.6577","13.6363"
"227","Izmir","Izmir","Izmir","Izmir","Turkey","","3","38.4237","27.1428"
"228","Bristol","Bristol","Bristol","England","United Kingdom","ENG","3","51.4545","-2.5879"
"229","Eindhoven","Eindhoven","Eindhoven","North Brabant","Netherlands","NB","3","51.4416","5.4697"
"230","Indianapolis","Indianapolis","Indianapolis","Indiana","United States","IN","1","39.7684","-86.1581"
"231","Memphis","Memphis","Memphis","Tennessee","United States","TN","1","35.1495","-90.049"
"232","HoChiMinhCity","Ho Chi Minh City","Ho Chi Minh City","Ho Chi Minh City","Vietnam","","3","10.8231","106.6297"
"233","Cromwell","Cromwell","Cromwell","Connecticut","United States","CT","1","41.5951","-72.6454"
